staff_member,week_commencing,week_number,programme_category,activity_value
Legacy Data,09/12/2024,50,Foundations for Better MH Services,35.90322581
Legacy Data,16/12/2024,51,Foundations for Better MH Services,35.90322581
Legacy Data,23/12/2024,52,Foundations for Better MH Services,35.90322581
Legacy Data,30/12/2024,1,Foundations for Better MH Services,43.16129032
Legacy Data,06/01/2025,2,Foundations for Better MH Services,46.06451613
Legacy Data,13/01/2025,3,Foundations for Better MH Services,46.06451613
Legacy Data,20/01/2025,4,Foundations for Better MH Services,46.06451613
Legacy Data,27/01/2025,5,Foundations for Better MH Services,47.47465438
Legacy Data,03/02/2025,6,Foundations for Better MH Services,51
Legacy Data,10/02/2025,7,Foundations for Better MH Services,51
Legacy Data,17/02/2025,8,Foundations for Better MH Services,51
Legacy Data,24/02/2025,9,Foundations for Better MH Services,49.58986175
Legacy Data,03/03/2025,10,Foundations for Better MH Services,46.06451613
Legacy Data,10/03/2025,11,Foundations for Better MH Services,46.06451613
Legacy Data,17/03/2025,12,Foundations for Better MH Services,46.06451613
Legacy Data,24/03/2025,13,Foundations for Better MH Services,46.06451613
Legacy Data,31/03/2025,14,Foundations for Better MH Services,44.38064516
Legacy Data,07/04/2025,15,Foundations for Better MH Services,44.1
Legacy Data,14/04/2025,16,Foundations for Better MH Services,44.1
Legacy Data,21/04/2025,17,Foundations for Better MH Services,44.1
Legacy Data,28/04/2025,18,Foundations for Better MH Services,49.09354839
Legacy Data,05/05/2025,19,Foundations for Better MH Services,52.83870968
Legacy Data,12/05/2025,20,Foundations for Better MH Services,52.83870968
Legacy Data,19/05/2025,21,Foundations for Better MH Services,52.83870968
Legacy Data,26/05/2025,22,Foundations for Better MH Services,50.59032258
Legacy Data,02/06/2025,23,Foundations for Better MH Services,37.1
Legacy Data,09/06/2025,24,Foundations for Better MH Services,37.1
Legacy Data,16/06/2025,25,Foundations for Better MH Services,37.1
Legacy Data,23/06/2025,26,Foundations for Better MH Services,37.1
Legacy Data,30/06/2025,27,Foundations for Better MH Services,50.59032258
Legacy Data,07/07/2025,28,Foundations for Better MH Services,52.83870968
Legacy Data,14/07/2025,29,Foundations for Better MH Services,52.83870968
Legacy Data,21/07/2025,30,Foundations for Better MH Services,52.83870968
Legacy Data,28/07/2025,31,Foundations for Better MH Services,51.38709677
Legacy Data,04/08/2025,32,Foundations for Better MH Services,49.4516129
Legacy Data,11/08/2025,33,Foundations for Better MH Services,49.4516129
Legacy Data,18/08/2025,34,Foundations for Better MH Services,49.4516129
Legacy Data,25/08/2025,35,Foundations for Better MH Services,49.4516129
Legacy Data,01/09/2025,36,Foundations for Better MH Services,47.6
Legacy Data,08/09/2025,37,Foundations for Better MH Services,47.6
Legacy Data,15/09/2025,38,Foundations for Better MH Services,47.6
Legacy Data,22/09/2025,39,Foundations for Better MH Services,47.6
Legacy Data,29/09/2025,40,Foundations for Better MH Services,51.34193548
Legacy Data,06/10/2025,41,Foundations for Better MH Services,52.83870968
Legacy Data,13/10/2025,42,Foundations for Better MH Services,52.83870968
Legacy Data,20/10/2025,43,Foundations for Better MH Services,52.83870968
Legacy Data,27/10/2025,44,Foundations for Better MH Services,51.34193548
Legacy Data,03/11/2025,45,Foundations for Better MH Services,47.6
Legacy Data,10/11/2025,46,Foundations for Better MH Services,47.6
Legacy Data,17/11/2025,47,Foundations for Better MH Services,47.6
Legacy Data,24/11/2025,48,Foundations for Better MH Services,47.6
Legacy Data,01/12/2025,49,Foundations for Better MH Services,42.67741935
Legacy Data,08/12/2025,50,Foundations for Better MH Services,42.67741935
Legacy Data,15/12/2025,51,Foundations for Better MH Services,42.67741935
Legacy Data,22/12/2025,52,Foundations for Better MH Services,42.67741935
Legacy Data,29/12/2025,1,Foundations for Better MH Services,18.29032258
Legacy Data,01/01/2024,1,Further Faster,0
Legacy Data,08/01/2024,2,Further Faster,0
Legacy Data,15/01/2024,3,Further Faster,0
Legacy Data,22/01/2024,4,Further Faster,0
Legacy Data,29/01/2024,5,Further Faster,0
Legacy Data,05/02/2024,6,Further Faster,0
Legacy Data,12/02/2024,7,Further Faster,0
Legacy Data,19/02/2024,8,Further Faster,0
Legacy Data,26/02/2024,9,Further Faster,0
Legacy Data,04/03/2024,10,Further Faster,0
Legacy Data,11/03/2024,11,Further Faster,0
Legacy Data,18/03/2024,12,Further Faster,0
Legacy Data,25/03/2024,13,Further Faster,0
Legacy Data,01/04/2024,14,Further Faster,0
Legacy Data,08/04/2024,15,Further Faster,0
Legacy Data,15/04/2024,16,Further Faster,0
Legacy Data,22/04/2024,17,Further Faster,0
Legacy Data,29/04/2024,18,Further Faster,0
Legacy Data,06/05/2024,19,Further Faster,0
Legacy Data,13/05/2024,20,Further Faster,0
Legacy Data,20/05/2024,21,Further Faster,0
Legacy Data,27/05/2024,22,Further Faster,0
Legacy Data,03/06/2024,23,Further Faster,0
Legacy Data,10/06/2024,24,Further Faster,0
Legacy Data,17/06/2024,25,Further Faster,0
Legacy Data,24/06/2024,26,Further Faster,0
Legacy Data,01/07/2024,27,Further Faster,0
Legacy Data,08/07/2024,28,Further Faster,0
Legacy Data,15/07/2024,29,Further Faster,0
Legacy Data,22/07/2024,30,Further Faster,0
Legacy Data,29/07/2024,31,Further Faster,0
Legacy Data,05/08/2024,32,Further Faster,0
Legacy Data,12/08/2024,33,Further Faster,0
Legacy Data,19/08/2024,34,Further Faster,0
Legacy Data,26/08/2024,35,Further Faster,0
Legacy Data,02/09/2024,36,Further Faster,0
Legacy Data,09/09/2024,37,Further Faster,0
Legacy Data,16/09/2024,38,Further Faster,0
Legacy Data,23/09/2024,39,Further Faster,0
Legacy Data,30/09/2024,40,Further Faster,0
Legacy Data,07/10/2024,41,Further Faster,0
Legacy Data,14/10/2024,42,Further Faster,0
Legacy Data,21/10/2024,43,Further Faster,0
Legacy Data,28/10/2024,44,Further Faster,0
Legacy Data,04/11/2024,45,Further Faster,0
Legacy Data,11/11/2024,46,Further Faster,0
Legacy Data,18/11/2024,47,Further Faster,0
Legacy Data,25/11/2024,48,Further Faster,0
Legacy Data,02/12/2024,49,Further Faster,0
Legacy Data,09/12/2024,50,Further Faster,0
Legacy Data,16/12/2024,51,Further Faster,0
Legacy Data,23/12/2024,52,Further Faster,0
Legacy Data,30/12/2024,1,Further Faster,0
Legacy Data,06/01/2025,2,Further Faster,0
Legacy Data,13/01/2025,3,Further Faster,0
Legacy Data,20/01/2025,4,Further Faster,0
Legacy Data,27/01/2025,5,Further Faster,0
Legacy Data,03/02/2025,6,Further Faster,0
Legacy Data,10/02/2025,7,Further Faster,0
Legacy Data,17/02/2025,8,Further Faster,0
Legacy Data,24/02/2025,9,Further Faster,0
Legacy Data,03/03/2025,10,Further Faster,0
Legacy Data,10/03/2025,11,Further Faster,0
Legacy Data,17/03/2025,12,Further Faster,0
Legacy Data,24/03/2025,13,Further Faster,0
Legacy Data,31/03/2025,14,Further Faster,0
Legacy Data,07/04/2025,15,Further Faster,0
Legacy Data,14/04/2025,16,Further Faster,0
Legacy Data,21/04/2025,17,Further Faster,0
Legacy Data,28/04/2025,18,Further Faster,0
Legacy Data,05/05/2025,19,Further Faster,0
Legacy Data,12/05/2025,20,Further Faster,0
Legacy Data,19/05/2025,21,Further Faster,0
Legacy Data,26/05/2025,22,Further Faster,0
Legacy Data,02/06/2025,23,Further Faster,0
Legacy Data,09/06/2025,24,Further Faster,0
Legacy Data,16/06/2025,25,Further Faster,0
Legacy Data,23/06/2025,26,Further Faster,0
Legacy Data,30/06/2025,27,Further Faster,0
Legacy Data,07/07/2025,28,Further Faster,0
Legacy Data,14/07/2025,29,Further Faster,0
Legacy Data,21/07/2025,30,Further Faster,0
Legacy Data,28/07/2025,31,Further Faster,0
Legacy Data,04/08/2025,32,Further Faster,0
Legacy Data,11/08/2025,33,Further Faster,0
Legacy Data,18/08/2025,34,Further Faster,0
Legacy Data,25/08/2025,35,Further Faster,0
Legacy Data,01/09/2025,36,Further Faster,0
Legacy Data,08/09/2025,37,Further Faster,0
Legacy Data,15/09/2025,38,Further Faster,0
Legacy Data,22/09/2025,39,Further Faster,0
Legacy Data,29/09/2025,40,Further Faster,0
Legacy Data,06/10/2025,41,Further Faster,0
Legacy Data,13/10/2025,42,Further Faster,0
Legacy Data,20/10/2025,43,Further Faster,0
Legacy Data,27/10/2025,44,Further Faster,8
Legacy Data,03/11/2025,45,Further Faster,28
Legacy Data,10/11/2025,46,Further Faster,28
Legacy Data,17/11/2025,47,Further Faster,28
Legacy Data,24/11/2025,48,Further Faster,28
Legacy Data,01/12/2025,49,Further Faster,27.09677419
Legacy Data,08/12/2025,50,Further Faster,27.09677419
Legacy Data,15/12/2025,51,Further Faster,27.09677419
Legacy Data,22/12/2025,52,Further Faster,27.09677419
Legacy Data,29/12/2025,1,Further Faster,11.61290323
Legacy Data,01/01/2024,1,Inpatient Men-SAT,55.88709677
Legacy Data,08/01/2024,2,Inpatient Men-SAT,55.88709677
Legacy Data,15/01/2024,3,Inpatient Men-SAT,55.88709677
Legacy Data,22/01/2024,4,Inpatient Men-SAT,55.88709677
Legacy Data,29/01/2024,5,Inpatient Men-SAT,61.19299221
Legacy Data,05/02/2024,6,Inpatient Men-SAT,65.17241379
Legacy Data,12/02/2024,7,Inpatient Men-SAT,65.17241379
Legacy Data,19/02/2024,8,Inpatient Men-SAT,65.17241379
Legacy Data,26/02/2024,9,Inpatient Men-SAT,63.37041157
Legacy Data,04/03/2024,10,Inpatient Men-SAT,60.96774194
Legacy Data,11/03/2024,11,Inpatient Men-SAT,60.96774194
Legacy Data,18/03/2024,12,Inpatient Men-SAT,60.96774194
Legacy Data,25/03/2024,13,Inpatient Men-SAT,60.96774194
Legacy Data,01/04/2024,14,Inpatient Men-SAT,0
Legacy Data,08/04/2024,15,Inpatient Men-SAT,0
Legacy Data,15/04/2024,16,Inpatient Men-SAT,0
Legacy Data,22/04/2024,17,Inpatient Men-SAT,0
Legacy Data,29/04/2024,18,Inpatient Men-SAT,0
Legacy Data,06/05/2024,19,Inpatient Men-SAT,0
Legacy Data,13/05/2024,20,Inpatient Men-SAT,0
Legacy Data,20/05/2024,21,Inpatient Men-SAT,0
Legacy Data,27/05/2024,22,Inpatient Men-SAT,0
Legacy Data,03/06/2024,23,Inpatient Men-SAT,0
Legacy Data,10/06/2024,24,Inpatient Men-SAT,0
Legacy Data,17/06/2024,25,Inpatient Men-SAT,0
Legacy Data,24/06/2024,26,Inpatient Men-SAT,0
Legacy Data,01/07/2024,27,Inpatient Men-SAT,0
Legacy Data,08/07/2024,28,Inpatient Men-SAT,0
Legacy Data,15/07/2024,29,Inpatient Men-SAT,0
Legacy Data,22/07/2024,30,Inpatient Men-SAT,0
Legacy Data,29/07/2024,31,Inpatient Men-SAT,0
Legacy Data,05/08/2024,32,Inpatient Men-SAT,0
Legacy Data,12/08/2024,33,Inpatient Men-SAT,0
Legacy Data,19/08/2024,34,Inpatient Men-SAT,0
Legacy Data,26/08/2024,35,Inpatient Men-SAT,0
Legacy Data,02/09/2024,36,Inpatient Men-SAT,0
Legacy Data,09/09/2024,37,Inpatient Men-SAT,0
Legacy Data,16/09/2024,38,Inpatient Men-SAT,0
Legacy Data,23/09/2024,39,Inpatient Men-SAT,0
Legacy Data,30/09/2024,40,Inpatient Men-SAT,0
Legacy Data,07/10/2024,41,Inpatient Men-SAT,0
Legacy Data,14/10/2024,42,Inpatient Men-SAT,0
Legacy Data,21/10/2024,43,Inpatient Men-SAT,0
Legacy Data,28/10/2024,44,Inpatient Men-SAT,0
Legacy Data,04/11/2024,45,Inpatient Men-SAT,0
Legacy Data,11/11/2024,46,Inpatient Men-SAT,0
Legacy Data,18/11/2024,47,Inpatient Men-SAT,0
Legacy Data,25/11/2024,48,Inpatient Men-SAT,4.838709677
Legacy Data,02/12/2024,49,Inpatient Men-SAT,33.87096774
Legacy Data,09/12/2024,50,Inpatient Men-SAT,33.87096774
Legacy Data,16/12/2024,51,Inpatient Men-SAT,33.87096774
Legacy Data,23/12/2024,52,Inpatient Men-SAT,33.87096774
Legacy Data,30/12/2024,1,Inpatient Men-SAT,36.29032258
Legacy Data,06/01/2025,2,Inpatient Men-SAT,37.25806452
Legacy Data,13/01/2025,3,Inpatient Men-SAT,37.25806452
Legacy Data,20/01/2025,4,Inpatient Men-SAT,37.25806452
Legacy Data,27/01/2025,5,Inpatient Men-SAT,37.32718894
Legacy Data,03/02/2025,6,Inpatient Men-SAT,37.5
Legacy Data,10/02/2025,7,Inpatient Men-SAT,37.5
Legacy Data,17/02/2025,8,Inpatient Men-SAT,37.5
Legacy Data,24/02/2025,9,Inpatient Men-SAT,36.94700461
Legacy Data,03/03/2025,10,Inpatient Men-SAT,35.56451613
Legacy Data,10/03/2025,11,Inpatient Men-SAT,35.56451613
Legacy Data,17/03/2025,12,Inpatient Men-SAT,35.56451613
Legacy Data,24/03/2025,13,Inpatient Men-SAT,35.56451613
Legacy Data,31/03/2025,14,Inpatient Men-SAT,41.08064516
Legacy Data,07/04/2025,15,Inpatient Men-SAT,42
Legacy Data,14/04/2025,16,Inpatient Men-SAT,42
Legacy Data,21/04/2025,17,Inpatient Men-SAT,42
Legacy Data,28/04/2025,18,Inpatient Men-SAT,41.22580645
Legacy Data,05/05/2025,19,Inpatient Men-SAT,40.64516129
Legacy Data,12/05/2025,20,Inpatient Men-SAT,40.64516129
Legacy Data,19/05/2025,21,Inpatient Men-SAT,40.64516129
Legacy Data,26/05/2025,22,Inpatient Men-SAT,39.63870968
Legacy Data,02/06/2025,23,Inpatient Men-SAT,33.6
Legacy Data,09/06/2025,24,Inpatient Men-SAT,33.6
Legacy Data,16/06/2025,25,Inpatient Men-SAT,33.6
Legacy Data,23/06/2025,26,Inpatient Men-SAT,33.6
Legacy Data,30/06/2025,27,Inpatient Men-SAT,44.86451613
Legacy Data,07/07/2025,28,Inpatient Men-SAT,46.74193548
Legacy Data,14/07/2025,29,Inpatient Men-SAT,46.74193548
Legacy Data,21/07/2025,30,Inpatient Men-SAT,46.74193548
Legacy Data,28/07/2025,31,Inpatient Men-SAT,44.12903226
Legacy Data,04/08/2025,32,Inpatient Men-SAT,40.64516129
Legacy Data,11/08/2025,33,Inpatient Men-SAT,40.64516129
Legacy Data,18/08/2025,34,Inpatient Men-SAT,40.64516129
Legacy Data,25/08/2025,35,Inpatient Men-SAT,40.64516129
Legacy Data,01/09/2025,36,Inpatient Men-SAT,51.33333333
Legacy Data,08/09/2025,37,Inpatient Men-SAT,51.33333333
Legacy Data,15/09/2025,38,Inpatient Men-SAT,51.33333333
Legacy Data,22/09/2025,39,Inpatient Men-SAT,51.33333333
Legacy Data,29/09/2025,40,Inpatient Men-SAT,51.76344086
Legacy Data,06/10/2025,41,Inpatient Men-SAT,51.93548387
Legacy Data,13/10/2025,42,Inpatient Men-SAT,51.93548387
Legacy Data,20/10/2025,43,Inpatient Men-SAT,51.93548387
Legacy Data,27/10/2025,44,Inpatient Men-SAT,47.09677419
Legacy Data,03/11/2025,45,Inpatient Men-SAT,35
Legacy Data,10/11/2025,46,Inpatient Men-SAT,35
Legacy Data,17/11/2025,47,Inpatient Men-SAT,35
Legacy Data,24/11/2025,48,Inpatient Men-SAT,35
Legacy Data,01/12/2025,49,Inpatient Men-SAT,35.56451613
Legacy Data,08/12/2025,50,Inpatient Men-SAT,35.56451613
Legacy Data,15/12/2025,51,Inpatient Men-SAT,35.56451613
Legacy Data,22/12/2025,52,Inpatient Men-SAT,35.56451613
Legacy Data,29/12/2025,1,Inpatient Men-SAT,15.24193548
Legacy Data,01/01/2024,1,Mental Health Rehabilitation,0
Legacy Data,08/01/2024,2,Mental Health Rehabilitation,0
Legacy Data,15/01/2024,3,Mental Health Rehabilitation,0
Legacy Data,22/01/2024,4,Mental Health Rehabilitation,0
Legacy Data,29/01/2024,5,Mental Health Rehabilitation,0
Legacy Data,05/02/2024,6,Mental Health Rehabilitation,0
Legacy Data,12/02/2024,7,Mental Health Rehabilitation,0
Legacy Data,19/02/2024,8,Mental Health Rehabilitation,0
Legacy Data,26/02/2024,9,Mental Health Rehabilitation,0
Legacy Data,04/03/2024,10,Mental Health Rehabilitation,0
Legacy Data,11/03/2024,11,Mental Health Rehabilitation,0
Legacy Data,18/03/2024,12,Mental Health Rehabilitation,0
Legacy Data,25/03/2024,13,Mental Health Rehabilitation,0
Legacy Data,01/04/2024,14,Mental Health Rehabilitation,0
Legacy Data,08/04/2024,15,Mental Health Rehabilitation,0
Legacy Data,15/04/2024,16,Mental Health Rehabilitation,0
Legacy Data,22/04/2024,17,Mental Health Rehabilitation,0
Legacy Data,29/04/2024,18,Mental Health Rehabilitation,0
Legacy Data,06/05/2024,19,Mental Health Rehabilitation,0
Legacy Data,13/05/2024,20,Mental Health Rehabilitation,0
Legacy Data,20/05/2024,21,Mental Health Rehabilitation,0
Legacy Data,27/05/2024,22,Mental Health Rehabilitation,0
Legacy Data,03/06/2024,23,Mental Health Rehabilitation,0
Legacy Data,10/06/2024,24,Mental Health Rehabilitation,0
Legacy Data,17/06/2024,25,Mental Health Rehabilitation,0
Legacy Data,24/06/2024,26,Mental Health Rehabilitation,0
Legacy Data,01/07/2024,27,Mental Health Rehabilitation,0
Legacy Data,08/07/2024,28,Mental Health Rehabilitation,0
Legacy Data,15/07/2024,29,Mental Health Rehabilitation,0
Legacy Data,22/07/2024,30,Mental Health Rehabilitation,0
Legacy Data,29/07/2024,31,Mental Health Rehabilitation,0
Legacy Data,05/08/2024,32,Mental Health Rehabilitation,0
Legacy Data,12/08/2024,33,Mental Health Rehabilitation,0
Legacy Data,19/08/2024,34,Mental Health Rehabilitation,0
Legacy Data,26/08/2024,35,Mental Health Rehabilitation,0
Legacy Data,02/09/2024,36,Mental Health Rehabilitation,0
Legacy Data,09/09/2024,37,Mental Health Rehabilitation,0
Legacy Data,16/09/2024,38,Mental Health Rehabilitation,0
Legacy Data,23/09/2024,39,Mental Health Rehabilitation,0
Legacy Data,30/09/2024,40,Mental Health Rehabilitation,0
Legacy Data,07/10/2024,41,Mental Health Rehabilitation,0
Legacy Data,14/10/2024,42,Mental Health Rehabilitation,0
Legacy Data,21/10/2024,43,Mental Health Rehabilitation,0
Legacy Data,28/10/2024,44,Mental Health Rehabilitation,0
Legacy Data,04/11/2024,45,Mental Health Rehabilitation,0
Legacy Data,11/11/2024,46,Mental Health Rehabilitation,0
Legacy Data,18/11/2024,47,Mental Health Rehabilitation,0
Legacy Data,25/11/2024,48,Mental Health Rehabilitation,0
Legacy Data,02/12/2024,49,Mental Health Rehabilitation,0
Legacy Data,09/12/2024,50,Mental Health Rehabilitation,0
Legacy Data,16/12/2024,51,Mental Health Rehabilitation,0
Legacy Data,23/12/2024,52,Mental Health Rehabilitation,0
Legacy Data,30/12/2024,1,Mental Health Rehabilitation,0
Legacy Data,06/01/2025,2,Mental Health Rehabilitation,0
Legacy Data,13/01/2025,3,Mental Health Rehabilitation,0
Legacy Data,20/01/2025,4,Mental Health Rehabilitation,0
Legacy Data,27/01/2025,5,Mental Health Rehabilitation,0
Legacy Data,03/02/2025,6,Mental Health Rehabilitation,0
Legacy Data,10/02/2025,7,Mental Health Rehabilitation,0
Legacy Data,17/02/2025,8,Mental Health Rehabilitation,0
Legacy Data,24/02/2025,9,Mental Health Rehabilitation,0
Legacy Data,03/03/2025,10,Mental Health Rehabilitation,0
Legacy Data,10/03/2025,11,Mental Health Rehabilitation,0
Legacy Data,17/03/2025,12,Mental Health Rehabilitation,0
Legacy Data,24/03/2025,13,Mental Health Rehabilitation,0
Legacy Data,31/03/2025,14,Mental Health Rehabilitation,0
Legacy Data,07/04/2025,15,Mental Health Rehabilitation,0
Legacy Data,14/04/2025,16,Mental Health Rehabilitation,0
Legacy Data,21/04/2025,17,Mental Health Rehabilitation,0
Legacy Data,28/04/2025,18,Mental Health Rehabilitation,0
Legacy Data,05/05/2025,19,Mental Health Rehabilitation,0
Legacy Data,12/05/2025,20,Mental Health Rehabilitation,0
Legacy Data,19/05/2025,21,Mental Health Rehabilitation,0
Legacy Data,26/05/2025,22,Mental Health Rehabilitation,0
Legacy Data,02/06/2025,23,Mental Health Rehabilitation,0
Legacy Data,09/06/2025,24,Mental Health Rehabilitation,0
Legacy Data,16/06/2025,25,Mental Health Rehabilitation,0
Legacy Data,23/06/2025,26,Mental Health Rehabilitation,0
Legacy Data,30/06/2025,27,Mental Health Rehabilitation,0
Legacy Data,07/07/2025,28,Mental Health Rehabilitation,0
Legacy Data,14/07/2025,29,Mental Health Rehabilitation,0
Legacy Data,21/07/2025,30,Mental Health Rehabilitation,0
Legacy Data,28/07/2025,31,Mental Health Rehabilitation,0
Legacy Data,04/08/2025,32,Mental Health Rehabilitation,0
Legacy Data,11/08/2025,33,Mental Health Rehabilitation,0
Legacy Data,18/08/2025,34,Mental Health Rehabilitation,0
Legacy Data,25/08/2025,35,Mental Health Rehabilitation,0
Legacy Data,01/09/2025,36,Mental Health Rehabilitation,0
Legacy Data,08/09/2025,37,Mental Health Rehabilitation,0
Legacy Data,15/09/2025,38,Mental Health Rehabilitation,0
Legacy Data,22/09/2025,39,Mental Health Rehabilitation,0
Legacy Data,29/09/2025,40,Mental Health Rehabilitation,0
Legacy Data,06/10/2025,41,Mental Health Rehabilitation,0
Legacy Data,13/10/2025,42,Mental Health Rehabilitation,0
Legacy Data,20/10/2025,43,Mental Health Rehabilitation,0
Legacy Data,27/10/2025,44,Mental Health Rehabilitation,2.75
Legacy Data,03/11/2025,45,Mental Health Rehabilitation,9.625
Legacy Data,10/11/2025,46,Mental Health Rehabilitation,9.625
Legacy Data,17/11/2025,47,Mental Health Rehabilitation,9.625
Legacy Data,24/11/2025,48,Mental Health Rehabilitation,9.625
Legacy Data,01/12/2025,49,Mental Health Rehabilitation,9.314516129
Legacy Data,08/12/2025,50,Mental Health Rehabilitation,9.314516129
Legacy Data,15/12/2025,51,Mental Health Rehabilitation,9.314516129
Legacy Data,22/12/2025,52,Mental Health Rehabilitation,9.314516129
Legacy Data,29/12/2025,1,Mental Health Rehabilitation,3.991935484
Legacy Data,01/01/2024,1,MHED Policy and Clinical Collaboration,0
Legacy Data,08/01/2024,2,MHED Policy and Clinical Collaboration,0
Legacy Data,15/01/2024,3,MHED Policy and Clinical Collaboration,0
Legacy Data,22/01/2024,4,MHED Policy and Clinical Collaboration,0
Legacy Data,29/01/2024,5,MHED Policy and Clinical Collaboration,0
Legacy Data,05/02/2024,6,MHED Policy and Clinical Collaboration,0
Legacy Data,12/02/2024,7,MHED Policy and Clinical Collaboration,0
Legacy Data,19/02/2024,8,MHED Policy and Clinical Collaboration,0
Legacy Data,26/02/2024,9,MHED Policy and Clinical Collaboration,0
Legacy Data,04/03/2024,10,MHED Policy and Clinical Collaboration,0
Legacy Data,11/03/2024,11,MHED Policy and Clinical Collaboration,0
Legacy Data,18/03/2024,12,MHED Policy and Clinical Collaboration,0
Legacy Data,25/03/2024,13,MHED Policy and Clinical Collaboration,0
Legacy Data,01/04/2024,14,MHED Policy and Clinical Collaboration,0
Legacy Data,08/04/2024,15,MHED Policy and Clinical Collaboration,0
Legacy Data,15/04/2024,16,MHED Policy and Clinical Collaboration,0
Legacy Data,22/04/2024,17,MHED Policy and Clinical Collaboration,0
Legacy Data,29/04/2024,18,MHED Policy and Clinical Collaboration,0
Legacy Data,06/05/2024,19,MHED Policy and Clinical Collaboration,0
Legacy Data,13/05/2024,20,MHED Policy and Clinical Collaboration,0
Legacy Data,20/05/2024,21,MHED Policy and Clinical Collaboration,0
Legacy Data,27/05/2024,22,MHED Policy and Clinical Collaboration,0
Legacy Data,03/06/2024,23,MHED Policy and Clinical Collaboration,0
Legacy Data,10/06/2024,24,MHED Policy and Clinical Collaboration,0
Legacy Data,17/06/2024,25,MHED Policy and Clinical Collaboration,0
Legacy Data,24/06/2024,26,MHED Policy and Clinical Collaboration,0
Legacy Data,01/07/2024,27,MHED Policy and Clinical Collaboration,0
Legacy Data,08/07/2024,28,MHED Policy and Clinical Collaboration,0
Legacy Data,15/07/2024,29,MHED Policy and Clinical Collaboration,0
Legacy Data,22/07/2024,30,MHED Policy and Clinical Collaboration,0
Legacy Data,29/07/2024,31,MHED Policy and Clinical Collaboration,0
Legacy Data,05/08/2024,32,MHED Policy and Clinical Collaboration,0
Legacy Data,12/08/2024,33,MHED Policy and Clinical Collaboration,0
Legacy Data,19/08/2024,34,MHED Policy and Clinical Collaboration,0
Legacy Data,26/08/2024,35,MHED Policy and Clinical Collaboration,0
Legacy Data,02/09/2024,36,MHED Policy and Clinical Collaboration,0
Legacy Data,09/09/2024,37,MHED Policy and Clinical Collaboration,0
Legacy Data,16/09/2024,38,MHED Policy and Clinical Collaboration,0
Legacy Data,23/09/2024,39,MHED Policy and Clinical Collaboration,0
Legacy Data,30/09/2024,40,MHED Policy and Clinical Collaboration,0
Legacy Data,07/10/2024,41,MHED Policy and Clinical Collaboration,0
Legacy Data,14/10/2024,42,MHED Policy and Clinical Collaboration,0
Legacy Data,21/10/2024,43,MHED Policy and Clinical Collaboration,0
Legacy Data,28/10/2024,44,MHED Policy and Clinical Collaboration,0
Legacy Data,04/11/2024,45,MHED Policy and Clinical Collaboration,0
Legacy Data,11/11/2024,46,MHED Policy and Clinical Collaboration,0
Legacy Data,18/11/2024,47,MHED Policy and Clinical Collaboration,0
Legacy Data,25/11/2024,48,MHED Policy and Clinical Collaboration,0
Legacy Data,02/12/2024,49,MHED Policy and Clinical Collaboration,0
Legacy Data,09/12/2024,50,MHED Policy and Clinical Collaboration,0
Legacy Data,16/12/2024,51,MHED Policy and Clinical Collaboration,0
Legacy Data,23/12/2024,52,MHED Policy and Clinical Collaboration,0
Legacy Data,30/12/2024,1,MHED Policy and Clinical Collaboration,0
Legacy Data,06/01/2025,2,MHED Policy and Clinical Collaboration,0
Legacy Data,13/01/2025,3,MHED Policy and Clinical Collaboration,0
Legacy Data,20/01/2025,4,MHED Policy and Clinical Collaboration,0
Legacy Data,27/01/2025,5,MHED Policy and Clinical Collaboration,0
Legacy Data,03/02/2025,6,MHED Policy and Clinical Collaboration,0
Legacy Data,10/02/2025,7,MHED Policy and Clinical Collaboration,0
Legacy Data,17/02/2025,8,MHED Policy and Clinical Collaboration,0
Legacy Data,24/02/2025,9,MHED Policy and Clinical Collaboration,0
Legacy Data,03/03/2025,10,MHED Policy and Clinical Collaboration,0
Legacy Data,10/03/2025,11,MHED Policy and Clinical Collaboration,0
Legacy Data,17/03/2025,12,MHED Policy and Clinical Collaboration,0
Legacy Data,24/03/2025,13,MHED Policy and Clinical Collaboration,0
Legacy Data,31/03/2025,14,MHED Policy and Clinical Collaboration,0
Legacy Data,07/04/2025,15,MHED Policy and Clinical Collaboration,0
Legacy Data,14/04/2025,16,MHED Policy and Clinical Collaboration,0
Legacy Data,21/04/2025,17,MHED Policy and Clinical Collaboration,0
Legacy Data,28/04/2025,18,MHED Policy and Clinical Collaboration,0
Legacy Data,05/05/2025,19,MHED Policy and Clinical Collaboration,0
Legacy Data,12/05/2025,20,MHED Policy and Clinical Collaboration,0
Legacy Data,19/05/2025,21,MHED Policy and Clinical Collaboration,0
Legacy Data,26/05/2025,22,MHED Policy and Clinical Collaboration,0
Legacy Data,02/06/2025,23,MHED Policy and Clinical Collaboration,0
Legacy Data,09/06/2025,24,MHED Policy and Clinical Collaboration,0
Legacy Data,16/06/2025,25,MHED Policy and Clinical Collaboration,0
Legacy Data,23/06/2025,26,MHED Policy and Clinical Collaboration,0
Legacy Data,30/06/2025,27,MHED Policy and Clinical Collaboration,0
Legacy Data,07/07/2025,28,MHED Policy and Clinical Collaboration,0
Legacy Data,14/07/2025,29,MHED Policy and Clinical Collaboration,0
Legacy Data,21/07/2025,30,MHED Policy and Clinical Collaboration,0
